Brand,Product_Description,Screen_Size,RAM,Processor,GPU,GPU_Type,Resolution,Condition,Price
1,56,15.6,0,12,0,0,0,2,585.0
1,80,15.6,2,33,5,0,0,2,299.0
0,78,15.6,0,4,0,0,1,0,319.99
1,78,15.6,3,2,5,0,1,0,315.99
7,79,15.6,0,16,11,2,0,3,699.99
7,80,13.4,0,42,0,1,5,2,834.95
1,76,14.0,0,4,0,0,0,0,379.99
3,79,15.6,2,33,5,0,0,3,299.95
0,77,15.6,2,43,3,4,1,2,392.5
3,80,17.3,2,4,0,0,18,3,399.99
0,77,14.0,0,29,5,1,16,0,499.99
3,78,14.0,2,44,3,1,19,2,399.95
1,75,14.0,0,2,31,0,0,0,179.95
5,77,12.4,2,23,5,0,8,3,265.0
1,80,14.0,1,18,2,0,0,0,288.99
1,80,11.6,0,1,32,0,0,1,293.99
5,77,12.4,0,6,0,1,8,4,479.99
3,79,14.0,2,6,33,0,13,4,369.55
9,78,13.3,2,4,5,1,0,4,299.99
0,75,15.6,0,45,15,0,0,3,345.95
3,78,15.6,2,27,13,2,0,2,538.75
3,71,14.0,0,14,0,1,20,4,699.99
0,80,14.0,0,6,0,0,5,2,999.99
2,80,15.6,0,14,34,0,0,2,534.86
11,79,14.0,2,6,0,1,5,1,329.99
1,78,11.6,0,1,32,0,0,1,314.99
3,76,13.3,2,11,4,0,0,0,239.99
1,80,13.3,0,4,0,0,0,0,355.0
1,77,16.0,3,7,35,2,21,3,940.0
1,75,12.5,0,39,36,0,1,4,219.88
0,77,14.0,0,29,5,0,0,4,449.99
0,76,14.0,0,39,37,0,22,1,299.99
0,75,14.0,2,10,38,2,0,1,128.99
0,80,14.0,3,18,2,0,0,4,399.99
0,80,15.6,0,29,39,1,0,0,619.99
1,80,16.0,0,7,40,0,21,3,879.0
0,80,12.0,0,4,0,0,23,4,601.79
0,75,14.0,0,18,2,1,0,0,259.99
0,78,14.0,0,12,0,0,5,2,750.0
9,78,15.6,0,16,0,1,0,4,479.99
1,75,13.3,2,23,3,1,1,1,195.0
3,76,14.0,0,11,4,0,0,4,209.99
1,79,13.4,0,16,0,0,5,0,549.99
5,77,13.0,0,16,0,0,24,3,50.0
1,78,13.3,1,16,41,2,10,1,399.0
4,69,15.6,2,33,5,0,0,2,289.0
0,79,14.0,1,46,3,1,1,2,399.95
9,76,16.0,0,7,0,0,11,4,929.99
5,64,13.0,2,6,0,0,24,2,650.0
1,77,12.5,0,39,1,1,25,0,219.0
1,80,12.5,0,11,4,1,0,1,239.0
0,76,14.0,0,18,2,0,0,0,259.99
1,79,16.0,1,16,5,0,9,1,399.0
2,76,15.6,0,26,9,2,26,3,570.0
0,76,13.3,2,2,2,0,0,0,169.99
14,78,14.1,2,6,0,0,0,2,324.99
1,78,14.0,0,10,1,0,0,3,278.98
0,76,13.3,2,23,5,0,0,0,224.95
1,77,14.0,2,16,0,1,0,0,274.99
10,78,10.1,0,1,19,0,5,2,699.0
0,77,14.0,2,23,5,0,0,0,256.45
14,79,15.6,5,47,3,1,1,2,139.99
0,77,14.0,2,2,5,0,0,4,239.99
0,70,14.0,0,16,0,0,1,3,550.0
3,76,15.6,0,29,42,2,0,3,599.0
0,71,14.0,1,23,5,0,0,0,260.95
4,78,15.6,0,4,12,2,0,2,668.95
1,76,15.6,0,10,1,1,0,0,199.0
1,76,17.3,0,48,3,2,18,2,929.99
5,79,13.5,2,23,3,0,3,3,399.0
0,80,16.0,2,25,43,0,10,3,309.99
5,73,12.4,5,23,5,0,8,3,250.0
3,75,14.0,1,18,2,0,0,2,439.99
1,80,11.6,0,1,32,0,0,1,381.99
1,69,13.3,2,49,1,0,4,3,159.95
1,78,16.0,3,7,35,2,21,3,810.0
1,80,16.0,0,7,40,0,21,3,859.99
0,77,15.6,2,4,0,0,0,2,237.5
3,76,15.6,0,50,3,0,0,3,619.98
1,80,14.0,0,16,0,1,0,1,274.99
1,51,15.6,0,12,0,0,0,4,474.95
0,80,14.0,0,18,2,1,22,0,319.99
1,78,14.0,1,18,2,0,0,0,377.99
3,80,11.6,2,2,44,0,4,0,179.99
3,79,14.603122508636531,1,51,3,1,1,3,669.88
0,79,15.6,2,25,5,0,0,2,349.95
3,72,12.0,5,34,19,0,23,2,155.0
13,79,14.0,2,10,1,0,1,0,159.99
4,43,15.6,2,27,15,0,0,2,349.0
1,71,14.0,0,16,0,1,0,1,274.99
1,80,17.3,0,48,3,2,18,2,929.99
1,77,15.6,3,52,5,0,0,4,899.95
1,80,14.1,1,18,2,0,27,0,399.99
1,80,14.0,1,18,2,0,0,0,399.99
1,80,14.0,1,11,4,0,0,0,339.99
3,78,15.6,2,4,0,0,0,2,369.0
5,79,15.0,0,29,3,1,1,2,699.99
2,79,15.6,0,27,5,0,0,3,279.99
0,76,14.0,2,33,5,0,0,3,199.99
0,80,14.0,3,11,3,0,0,4,339.99
3,73,14.0,0,6,0,0,0,4,309.99
3,80,14.0,0,29,5,0,0,3,499.0
1,78,15.6,1,2,2,0,0,0,358.0
0,75,15.6,2,4,0,0,0,2,398.75
0,78,14.0,2,2,2,0,0,0,296.96
4,75,14.0,2,4,0,0,0,2,334.99
11,75,16.0,0,53,3,1,10,4,549.94
0,79,14.0,0,23,5,0,0,0,359.96
5,80,13.5,0,16,0,1,3,4,499.99
0,78,14.0,0,7,0,0,5,4,999.99
3,75,15.6,2,25,5,0,4,2,319.0
1,75,15.6,2,54,5,0,28,2,385.0
0,78,14.0,0,23,5,0,16,0,422.96
2,74,17.3,2,6,5,0,0,3,384.0
3,80,15.6,1,18,2,2,0,0,387.99
0,80,15.6,2,55,20,2,0,3,744.99
3,79,15.6,0,14,0,0,0,2,698.98
15,78,13.9,2,11,4,2,15,3,399.6
3,69,14.603122508636531,5,34,3,0,4,2,163.0
0,73,15.6,0,56,15,0,0,3,186.5
0,72,14.0,3,18,2,0,0,1,279.95
0,80,14.0,2,19,3,0,27,2,215.3
1,80,14.0,1,18,2,0,0,0,428.99
3,76,15.6,2,57,3,0,4,2,549.99
3,78,15.6,0,4,0,0,0,2,496.99
3,71,13.3,2,16,0,1,0,4,389.99
0,80,14.0,2,16,0,0,0,4,509.99
1,78,15.6,2,23,5,1,4,4,249.99
5,79,13.5,2,6,0,1,3,4,459.99
1,68,14.0,0,10,1,1,0,1,199.0
3,80,15.6,0,4,0,0,0,2,449.99
3,77,14.0,2,29,2,0,0,3,349.99
1,79,14.603122508636531,1,9,3,1,1,4,324.99
3,78,14.0,0,7,13,2,11,3,629.99
1,79,13.4,0,6,0,0,29,4,769.99
2,80,14.0,2,58,0,1,0,2,309.95
9,79,15.6,0,14,0,1,0,4,689.99
3,69,14.0,2,2,2,0,0,0,215.95
5,74,12.4,2,23,5,0,8,2,329.0
0,74,17.3,2,59,5,0,30,2,395.88
3,80,14.603122508636531,5,34,3,1,1,3,153.65
0,77,16.0,2,12,0,0,5,3,450.0
1,79,17.3,0,14,5,0,5,4,429.99
16,78,13.3,2,10,3,0,31,3,759.49
1,80,14.0,3,60,45,0,1,0,329.99
3,78,15.6,2,4,0,0,0,3,350.0
3,78,15.6,0,14,46,2,32,4,869.95
3,72,16.0,0,14,0,0,9,2,818.88
3,79,15.6,1,18,2,0,0,0,412.0
5,75,14.0,0,16,3,2,1,3,989.99
1,79,14.0,0,4,3,0,1,0,427.99
3,72,17.3,0,61,0,0,0,3,649.99
1,80,15.6,3,14,47,2,5,4,449.99
3,77,14.0,0,1,4,0,0,4,249.99
1,77,15.6,0,39,1,0,0,0,159.11
1,79,12.5,0,39,36,0,1,0,219.99
11,75,14.0,0,29,5,1,0,1,369.99
3,62,14.0,0,23,5,5,0,2,495.95
0,77,16.0,0,12,5,1,5,3,779.99
3,76,14.0,0,4,0,0,0,4,409.99
0,77,13.3,0,62,48,2,5,3,499.0
1,73,15.6,0,10,49,0,4,0,199.99
9,76,15.6,0,7,3,1,1,2,749.99
13,79,14.0,2,2,2,0,1,0,219.99
1,51,15.6,0,12,0,0,0,4,474.95
0,77,14.0,0,4,50,0,5,1,424.99
4,78,15.6,2,27,15,0,0,2,499.0
0,74,13.3,0,29,51,0,0,3,349.49
2,76,16.0,0,63,3,0,5,2,900.0
1,76,15.6,2,25,3,0,0,2,349.0
14,77,14.603122508636531,1,64,3,1,1,3,149.0
1,80,14.0,0,2,2,0,0,4,244.99
1,76,17.3,3,60,14,0,0,0,499.99
0,79,15.6,2,6,0,0,0,3,398.0
3,80,14.0,0,4,0,1,0,2,449.95
0,65,15.6,0,23,43,0,0,1,299.95
3,79,14.0,0,2,6,0,0,2,200.0
1,80,13.4,0,14,0,1,5,4,881.27
1,80,11.6,0,1,32,0,0,1,342.99
1,80,15.6,0,7,0,0,0,3,499.99
5,80,12.4,2,23,5,1,8,4,265.99
2,78,14.0,2,33,5,0,0,3,229.99
2,78,15.6,0,14,34,0,0,2,581.99
0,76,14.0,3,1,3,0,0,3,249.99
1,75,14.0,2,23,5,0,4,0,229.45
1,80,15.6,3,14,52,2,5,4,249.99
3,80,15.6,2,33,5,0,0,2,315.0
9,78,15.6,0,65,53,0,0,3,999.0
1,73,14.0,5,66,5,0,4,3,199.99
1,79,15.6,2,23,5,0,0,0,189.71
1,80,13.3,2,4,0,0,0,4,395.99
1,80,15.6,0,14,0,0,0,2,635.0
1,77,15.6,2,6,0,0,0,4,495.45
0,77,13.0,2,2,2,0,0,0,233.95
1,80,15.6,2,4,3,0,1,2,399.94
1,71,14.0,0,18,2,0,0,0,215.95
1,77,13.4,2,6,0,0,5,4,549.99
0,80,14.0,0,7,0,0,33,2,650.0
0,80,14.0,0,11,3,0,0,0,269.99
14,80,15.6,2,33,5,0,0,2,289.99
1,80,13.3,0,4,0,0,0,0,399.99
13,79,14.603122508636531,1,9,3,1,1,2,469.99
3,80,15.6,2,4,0,0,0,2,430.99
1,80,14.0,0,29,3,0,1,0,469.06
0,74,15.6,3,45,12,2,0,3,599.98
3,80,16.0,0,14,24,2,5,3,989.99
9,77,15.6,0,14,0,0,0,1,489.99
1,76,14.0,3,18,2,0,34,4,317.77
0,79,14.0,0,18,2,0,0,4,379.99
11,73,17.0,0,12,0,0,10,2,699.99
4,79,14.0,1,31,0,1,6,2,469.49
3,76,14.0,3,67,3,0,1,2,694.99
0,75,14.0,0,7,5,1,5,4,739.99
1,80,14.0,3,18,2,0,0,4,359.99
0,80,14.0,0,12,0,0,5,2,747.12
1,80,13.3,0,16,41,1,10,2,635.4
0,79,15.6,2,18,54,1,0,0,299.99
0,80,14.0,6,18,2,0,0,4,429.99
5,77,14.0,0,16,55,2,12,1,832.99
0,77,16.0,0,7,0,0,5,2,649.99
3,75,15.6,0,4,0,0,0,3,325.0
0,80,13.3,2,23,0,0,0,0,269.95
3,80,15.6,2,6,22,2,0,2,599.99
4,78,14.0,2,25,0,0,0,2,368.95
1,79,16.0,3,7,35,2,21,3,830.0
1,78,14.0,3,18,2,0,0,0,544.99
1,80,14.0,0,18,2,0,0,4,289.99
0,80,16.0,2,12,0,0,5,3,544.0
9,80,13.3,0,14,0,1,0,4,569.99
3,79,13.3,2,14,0,0,5,4,489.99
0,71,13.9,2,18,2,0,0,3,101.0
1,77,14.0,2,4,0,0,4,0,239.99
3,80,15.6,2,0,0,0,0,2,395.0
4,76,15.6,2,33,5,0,0,3,294.99
7,79,15.6,2,6,20,2,0,2,668.65
1,80,14.0,0,16,0,0,0,0,369.99
1,76,13.4,3,68,0,0,5,3,649.99
1,67,14.0,2,69,30,1,4,1,169.0
0,67,16.0,0,7,0,0,5,2,531.15
0,80,14.0,0,4,0,0,0,2,399.99
1,80,14.0,3,2,2,0,0,4,269.99
0,80,15.6,0,7,20,2,0,2,829.0
0,69,15.6,2,6,0,0,0,2,369.99
0,80,16.0,0,12,0,0,0,2,849.0
1,76,15.6,2,25,43,0,0,2,300.0
5,71,12.4,2,23,5,0,8,2,379.99
11,70,14.0,2,23,5,0,0,2,525.0
1,78,14.0,3,2,2,0,0,4,299.99
4,78,15.6,0,16,11,2,0,3,799.89
1,78,14.0,0,70,3,2,0,0,259.99
0,80,17.3,5,66,5,0,4,3,270.0
3,41,15.6,2,2,3,0,1,3,320.0
3,80,15.6,5,34,5,0,4,3,175.99
2,79,15.6,0,26,9,2,26,3,879.0
1,78,13.3,0,18,2,0,0,0,242.95
4,80,14.0,1,71,3,1,1,2,399.99
3,78,15.6,3,7,0,0,1,2,874.99
1,78,14.0,0,18,2,0,0,1,189.99
0,78,12.5,2,2,6,0,4,0,233.95
3,61,15.6,2,33,5,0,0,3,199.0
1,79,15.6,0,4,0,0,1,0,349.99
3,69,11.6,5,34,3,0,1,2,299.99
2,79,15.6,2,25,3,2,0,2,549.0
0,78,14.0,2,2,2,0,0,1,219.99
0,79,16.0,2,5,56,1,10,3,247.5
3,80,14.0,0,4,0,0,5,2,574.99
3,75,15.6,5,47,5,0,4,3,200.0
2,80,14.0,5,47,23,0,4,2,211.49
3,80,14.0,0,72,57,0,0,1,325.0
3,76,13.5,0,12,0,0,5,3,674.99
1,80,14.0,0,60,45,2,0,1,300.0
1,80,17.3,0,48,3,2,18,2,999.0
3,78,15.6,0,73,0,6,0,2,485.0
13,72,15.6,0,74,3,1,1,3,375.97
1,77,15.6,3,7,58,2,5,4,649.99
0,80,16.0,0,7,0,0,5,2,645.32
3,75,14.0,2,2,4,0,0,1,199.99
3,80,15.6,2,12,0,0,0,2,648.0
5,77,13.5,2,6,0,2,3,3,550.0
3,67,17.3,0,75,59,0,18,0,386.1
1,74,15.6,2,33,5,0,0,2,379.95
1,79,14.0,2,25,0,0,5,4,99.99
3,79,15.6,0,10,6,1,0,0,229.0
1,80,14.0,0,18,2,0,0,4,268.0
0,79,13.3,0,14,0,0,10,3,640.0
3,80,14.0,0,76,2,0,0,3,300.0
1,80,15.6,0,7,0,0,0,3,899.99
0,80,14.0,0,23,5,0,0,4,279.99
1,78,15.6,3,14,47,2,5,4,150.0
1,73,15.6,3,16,5,0,16,4,99.99
0,73,13.3,2,29,5,0,0,3,389.95
3,80,14.0,0,1,4,1,4,0,229.0
0,79,14.0,0,27,15,0,5,3,449.99
1,76,15.6,2,4,0,0,0,0,292.46
3,79,15.6,7,18,15,2,0,0,799.0
1,80,14.0,0,18,4,0,0,4,344.99
3,78,14.0,0,2,3,2,1,4,279.99
2,72,15.6,0,3,0,1,0,2,549.0
11,71,17.0,3,14,0,0,10,1,649.0
1,75,15.6,0,18,60,0,0,1,339.0
9,74,16.0,0,7,0,0,11,3,849.99
0,79,16.0,0,7,0,0,5,2,499.99
0,79,14.0,5,33,5,0,0,2,259.99
1,78,14.0,3,4,0,0,0,4,449.99
1,77,11.0,2,77,61,0,0,2,450.0
4,78,14.0,2,5,3,1,0,2,295.0
0,78,14.0,0,67,15,0,5,2,830.0
0,80,14.0,2,23,5,0,0,0,269.95
0,76,13.3,2,2,2,0,0,4,209.99
3,79,15.6,3,18,15,2,0,0,645.0
0,78,14.0,2,23,5,0,1,0,269.99
1,80,15.6,3,2,5,0,0,0,485.0
0,78,11.6,5,35,15,0,4,1,149.5
1,80,15.6,0,1,4,0,0,0,419.99
0,79,14.0,0,2,3,0,1,0,279.99
1,80,14.0,3,18,2,0,0,4,319.0
0,77,14.0,0,67,15,0,1,3,305.0
0,79,13.3,2,2,2,0,0,0,169.99
1,80,13.3,3,18,3,0,1,0,384.46
1,77,15.6,2,2,2,0,4,1,179.0
1,79,14.0,2,78,2,0,1,0,170.99
1,77,13.3,0,18,3,0,1,4,259.99
1,80,15.6,0,16,62,1,22,0,819.99
0,80,14.0,2,2,63,2,0,0,247.45
0,78,14.0,0,16,0,2,16,3,577.07
1,74,14.0,0,2,2,0,0,0,170.95
0,77,14.0,3,7,0,0,5,4,899.95
11,78,16.0,0,14,64,2,10,3,849.99
0,78,15.6,2,6,0,0,0,3,449.88
1,74,15.6,0,79,0,0,0,3,849.0
4,76,14.0,2,16,0,0,0,3,379.0
3,72,14.0,2,2,2,0,0,0,215.95
1,79,15.6,2,1,4,0,1,0,151.99
1,80,14.0,1,2,2,0,0,0,328.99
0,78,14.0,2,25,5,0,5,3,339.0
1,79,17.3,3,4,3,1,1,1,699.95
1,79,14.0,0,29,3,0,1,0,344.99
1,74,15.6,0,80,4,0,0,0,279.99
3,77,14.0,3,16,0,0,0,3,850.0
1,79,13.3,2,49,1,0,4,0,170.99
1,80,15.6,0,2,5,0,0,0,510.0
1,80,12.3,2,2,3,0,1,0,299.0
5,79,13.5,2,1,4,0,1,3,499.99
1,78,15.6,2,2,3,0,0,1,225.0
1,76,14.0,0,81,3,0,0,0,249.99
5,79,13.5,0,14,0,0,3,3,799.99
5,73,13.3,2,23,65,0,3,3,329.99
2,76,17.3,2,6,0,0,23,3,449.99
17,80,13.3,2,2,3,0,0,1,459.99
3,77,14.0,2,2,2,1,4,1,150.95
1,79,12.5,0,39,1,1,0,0,199.0
3,78,13.5,0,14,0,0,20,4,699.99
5,80,14.4,0,4,0,0,12,4,669.99
0,80,14.0,2,82,15,0,4,3,169.95
1,80,13.4,0,29,66,0,5,3,544.94
1,78,15.6,3,14,47,2,5,4,699.99
3,78,15.6,0,6,0,0,0,3,449.99
9,80,15.6,0,14,0,0,0,4,539.99
2,50,15.6,2,25,5,0,0,3,282.49
1,79,14.0,0,4,0,0,10,4,579.99
5,77,13.5,0,16,0,0,3,3,629.99
7,78,15.6,2,4,22,2,0,3,449.0
0,80,14.0,0,4,67,0,0,3,499.95
0,70,14.0,3,18,2,0,0,1,279.99
0,75,15.6,0,83,68,2,0,0,332.1
3,80,14.0,0,16,5,2,0,3,519.99
1,76,13.3,2,4,0,0,0,3,379.66
0,77,14.0,0,7,69,2,5,3,290.0
5,62,12.4,8,0,3,0,1,3,409.99
3,75,15.6,0,6,3,2,1,4,649.77
1,78,15.6,3,60,70,2,0,4,499.99
2,67,15.6,2,4,3,0,1,3,299.0
0,75,14.0,0,16,0,0,5,1,599.95
3,78,15.0,0,14,50,0,0,1,441.99
1,62,14.0,0,4,50,0,4,1,244.99
5,80,15.0,3,16,0,1,35,4,789.99
0,79,13.3,2,23,5,1,0,1,229.99
0,77,15.6,2,4,0,1,0,0,275.39
6,80,13.4,0,16,0,1,5,4,649.99
0,76,15.6,0,69,71,2,0,0,359.1
0,79,13.3,2,4,72,0,5,4,399.99
0,80,16.0,0,14,73,2,5,4,949.99
0,80,14.0,0,84,74,2,18,1,235.0
0,80,14.0,2,12,3,1,1,3,389.99
1,75,15.6,2,23,5,0,0,4,239.99
1,80,15.6,3,18,75,2,0,0,645.0
8,59,13.3,2,1,76,0,10,3,399.0
0,80,14.0,0,14,0,1,13,4,669.99
1,77,13.3,0,85,0,0,0,3,369.99
5,79,14.4,7,7,77,2,12,3,549.0
0,79,17.3,2,33,5,0,18,3,365.75
0,76,14.0,5,33,5,0,0,3,199.98
2,78,14.0,2,86,3,1,1,3,363.0
1,80,15.6,2,4,0,1,0,4,279.99
5,80,13.5,0,14,0,1,3,0,699.99
5,76,13.0,2,4,6,0,24,3,59.99
1,79,14.0,0,29,3,0,1,0,353.99
3,79,14.0,0,29,3,0,1,4,604.99
3,79,13.5,0,12,0,0,5,3,724.99
1,77,16.0,0,7,0,0,5,3,598.0
3,70,15.6,2,4,0,0,0,3,359.99
3,79,14.0,0,14,5,0,7,3,469.99
3,78,14.0,3,87,78,0,7,4,539.95
11,78,17.0,0,7,0,0,10,3,699.0
1,79,14.0,3,18,2,2,0,3,469.99
3,65,14.0,2,66,3,1,1,3,200.0
1,75,15.6,2,23,5,0,0,0,189.71
3,80,14.0,0,6,0,0,5,3,749.0
3,70,13.5,3,14,0,0,23,3,799.0
1,74,13.4,0,14,0,0,5,3,829.99
0,63,14.0,2,4,0,0,0,3,349.0
5,80,13.5,0,29,3,0,3,0,499.99
1,77,15.6,2,66,5,1,4,0,149.99
1,79,13.3,3,16,0,0,0,4,999.99
0,80,13.3,2,29,5,0,0,0,305.96
0,80,14.0,0,18,79,0,22,0,319.99
0,78,14.0,0,16,0,1,5,4,619.99
3,78,13.3,2,23,2,0,0,3,374.99
1,79,14.0,7,4,0,0,0,3,370.0
0,80,16.0,0,88,9,2,10,3,800.0
2,80,15.6,0,6,0,0,0,3,375.0
1,70,14.0,0,7,0,0,0,4,497.99
0,58,14.0,3,16,0,0,0,0,474.95
1,78,15.6,0,23,5,0,0,3,400.0
